Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP2-26-SPA2-V17,BRA,Emissions|CH4,Mt CH4/yr,19,19,22,19,22,19,18,18,18,18,18
IMAGE,SSP2-26-SPA2-V17,BRA,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.00
IMAGE,SSP2-26-SPA2-V17,BRA,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.14,0.15,0.16,0.13,0.11,0.07,0.06,0.07,0.05,0.04,0.03
IMAGE,SSP2-26-SPA2-V17,BRA,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,BRA,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,BRA,Emissions|CH4|Energy Supply,Mt CH4/yr,0.47,0.51,0.92,0.46,0.41,0.38,0.37,0.35,0.26,0.18,0.12
IMAGE,SSP2-26-SPA2-V17,BRA,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,0.67,0.73,1.15,0.64,0.58,0.49,0.46,0.43,0.32,0.23,0.16
IMAGE,SSP2-26-SPA2-V17,BRA,Emissions|CH4|Land Use,Mt CH4/yr,16,17,19,16,20,18,16,16,17,17,17
IMAGE,SSP2-26-SPA2-V17,BRA,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.20,0.24,0.28,0.34,0.53,0.55,0.58,0.58,0.59,0.55,0.54
IMAGE,SSP2-26-SPA2-V17,BRA,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,12,13,16,15,15,14,15,15,16,16,16
IMAGE,SSP2-26-SPA2-V17,BRA,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.29,0.32,0.37,0.33,0.33,0.32,0.32,0.33,0.33,0.34,0.34
IMAGE,SSP2-26-SPA2-V17,BRA,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,11,13,15,14,14,14,14,15,15,16,16
IMAGE,SSP2-26-SPA2-V17,BRA,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.29,0.29,0.28,0.21,0.13,0.08,0.07,0.07,0.06,0.06,0.05
IMAGE,SSP2-26-SPA2-V17,BRA,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,3.33,2.36,2.08,0.51,4.44,2.20,0.47,0.21,0.16,0.20,0.20
IMAGE,SSP2-26-SPA2-V17,BRA,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.87,0.83,0.80,0.74,0.50,0.45,0.33,0.32,0.27,0.32,0.30
IMAGE,SSP2-26-SPA2-V17,BRA,Emissions|CH4|Other,Mt CH4/yr,0.03,0.03,0.03,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,BRA,Emissions|CH4|Waste,Mt CH4/yr,1.77,1.88,2.05,1.78,1.60,1.31,1.21,1.17,1.11,1.04,0.96
IMAGE,SSP2-26-SPA2-V17,CAN,Emissions|CH4,Mt CH4/yr,4.86,4.54,3.36,2.53,2.13,1.66,1.46,1.43,1.39,1.36,1.33
IMAGE,SSP2-26-SPA2-V17,CAN,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,CAN,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.04
IMAGE,SSP2-26-SPA2-V17,CAN,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,CAN,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,CAN,Emissions|CH4|Energy Supply,Mt CH4/yr,2.12,1.65,1.05,0.53,0.36,0.25,0.10,0.08,0.05,0.04,0.04
IMAGE,SSP2-26-SPA2-V17,CAN,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,2.16,1.69,1.09,0.56,0.39,0.28,0.14,0.12,0.10,0.09,0.08
IMAGE,SSP2-26-SPA2-V17,CAN,Emissions|CH4|Land Use,Mt CH4/yr,1.38,1.45,1.36,1.33,1.27,1.09,1.01,0.98,0.95,0.92,0.90
IMAGE,SSP2-26-SPA2-V17,CAN,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,CAN,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,1.37,1.44,1.35,1.32,1.26,1.08,1.00,0.97,0.94,0.92,0.89
