Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP2-Ref-SPA0-V17,BRA,Emissions|CH4,Mt CH4/yr,19,19,23,25,28,30,29,29,30,29,29
IMAGE,SSP2-Ref-SPA0-V17,BRA,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.01
IMAGE,SSP2-Ref-SPA0-V17,BRA,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.14,0.15,0.16,0.12,0.08,0.05,0.03,0.03,0.02,0.02,0.02
IMAGE,SSP2-Ref-SPA0-V17,BRA,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.02,0.03,0.08,0.12,0.14,0.18,0.18,0.20,0.16
IMAGE,SSP2-Ref-SPA0-V17,BRA,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.02,0.03,0.08,0.12,0.14,0.18,0.18,0.20,0.16
IMAGE,SSP2-Ref-SPA0-V17,BRA,Emissions|CH4|Energy Supply,Mt CH4/yr,0.47,0.51,0.98,1.58,1.83,2.87,3.14,3.11,2.71,1.75,0.91
IMAGE,SSP2-Ref-SPA0-V17,BRA,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,0.67,0.73,1.22,1.80,2.05,3.09,3.35,3.35,2.94,1.98,1.10
IMAGE,SSP2-Ref-SPA0-V17,BRA,Emissions|CH4|Land Use,Mt CH4/yr,16,17,19,21,24,25,23,23,25,25,26
IMAGE,SSP2-Ref-SPA0-V17,BRA,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.20,0.24,0.28,0.32,0.41,0.48,0.48,0.47,0.48,0.46,0.44
IMAGE,SSP2-Ref-SPA0-V17,BRA,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,12,13,16,18,19,20,21,22,23,24,25
IMAGE,SSP2-Ref-SPA0-V17,BRA,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.29,0.32,0.37,0.41,0.43,0.45,0.47,0.48,0.50,0.51,0.53
IMAGE,SSP2-Ref-SPA0-V17,BRA,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,11,13,15,17,18,20,21,21,22,23,24
IMAGE,SSP2-Ref-SPA0-V17,BRA,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.29,0.29,0.28,0.27,0.26,0.25,0.25,0.25,0.25,0.24,0.24
IMAGE,SSP2-Ref-SPA0-V17,BRA,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,3.33,2.36,2.62,2.19,3.63,3.49,1.01,0.22,1.33,0.30,0.29
IMAGE,SSP2-Ref-SPA0-V17,BRA,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.87,0.83,0.77,0.70,0.55,0.43,0.38,0.35,0.30,0.27,0.25
IMAGE,SSP2-Ref-SPA0-V17,BRA,Emissions|CH4|Other,Mt CH4/yr,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.00,0.00,0.00,0.00
IMAGE,SSP2-Ref-SPA0-V17,BRA,Emissions|CH4|Waste,Mt CH4/yr,1.77,1.88,2.05,2.16,2.19,2.17,2.09,1.98,1.85,1.70,1.56
IMAGE,SSP2-Ref-SPA0-V17,CAN,Emissions|CH4,Mt CH4/yr,4.86,4.54,4.82,5.02,5.06,4.99,4.89,5.25,6.22,7.52,5.93
IMAGE,SSP2-Ref-SPA0-V17,CAN,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
