1p5deg: 
Global: 
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00
mean,    -20.05,    177.46,      0.51,     29.55,     33.37,    198.02,    227.07,    230.89,    201.94,    233.60,    237.18,      0.00,    197.52,     20.56,     49.61,     53.42,    218.07,    247.12,    250.94,    221.99,    253.65,    257.23
std,     47.12,     47.54,     47.45,     48.95,     48.85,     48.64,     48.70,     48.69,     48.48,     48.60,     48.60,      0.00,      9.28,      4.24,      3.93,      3.44,     13.39,      6.14,      6.55,     13.27,      6.49,      6.89
min,   -110.11,     92.67,    -85.25,    -64.90,    -60.64,    107.99,    140.60,    144.86,    112.08,    147.56,    151.66,      0.00,    185.75,     14.15,     42.81,     47.23,    201.45,    237.68,    241.03,    205.54,    244.27,    246.95
25%,    -54.58,    142.08,    -35.02,     -7.81,     -3.52,    160.36,    190.49,    194.17,    164.28,    197.35,    200.87,      0.00,    188.24,     16.54,     46.21,     50.54,    204.59,    241.23,    244.68,    208.73,    247.19,    250.40
50%,    -17.03,    180.35,      6.20,     30.46,     34.96,    198.84,    232.11,    235.48,    202.81,    238.51,    241.57,      0.00,    197.31,     20.38,     49.77,     53.74,    218.31,    247.37,    251.74,    222.33,    253.81,    258.15
75%,      4.91,    202.76,     23.99,     56.76,     60.60,    224.98,    251.45,    255.56,    228.49,    257.68,    261.51,      0.00,    206.45,     24.75,     53.00,     56.66,    231.02,    252.43,    256.65,    235.16,    259.43,    263.37
max,    120.90,    321.10,    139.44,    176.83,    180.94,    347.54,    370.13,    374.58,    351.06,    376.91,    381.08,      0.00,    210.61,     27.27,     57.50,     60.21,    237.05,    259.64,    264.09,    240.57,    266.44,    270.59
2deg: 
Global: 
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00,    136.00
mean,    221.76,    424.41,    246.12,    277.33,    280.87,    448.76,    479.97,    483.51,    452.13,    486.20,    489.50,      0.00,    202.65,     24.35,     55.56,     59.10,    227.00,    258.21,    261.75,    230.37,    264.43,    267.74
std,     86.80,     89.03,     87.99,     89.02,     88.94,     90.63,     90.86,     90.84,     90.39,     90.81,     90.85,      0.00,      9.95,      4.21,      4.22,      3.73,     13.97,      7.55,      7.94,     13.76,      7.94,      8.30
min,     63.79,    260.99,     89.40,    113.60,    117.87,    279.01,    316.64,    319.18,    282.58,    322.54,    324.87,      0.00,    188.31,     17.08,     47.13,     51.47,    206.56,    244.60,    247.27,    210.26,    250.37,    252.80
25%,    169.32,    369.00,    190.49,    224.00,    226.72,    391.91,    423.31,    426.92,    395.38,    430.18,    433.37,      0.00,    192.93,     20.45,     52.08,     56.22,    213.35,    251.64,    254.70,    216.94,    257.25,    260.23
50%,    228.43,    429.01,    252.85,    285.35,    288.54,    452.70,    485.31,    488.46,    456.38,    491.02,    494.26,      0.00,    202.21,     24.52,     55.71,     59.19,    227.61,    258.21,    262.15,    230.76,    264.59,    267.93
75%,    269.11,    470.70,    294.37,    327.57,    331.14,    496.25,    527.47,    529.93,    499.66,    533.10,    535.79,      0.00,    212.35,     28.42,     58.84,     61.79,    240.32,    264.28,    268.49,    243.71,    271.04,    274.83
max,    462.73,    680.97,    494.17,    522.08,    525.84,    712.41,    738.39,    742.70,    715.37,    745.35,    749.31,      0.00,    218.24,     32.73,     65.63,     68.10,    249.68,    275.66,    279.97,    252.63,    282.62,    286.58
