1p5deg, lowQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,     -9.66,    179.44,      6.49,     42.57,     46.42,    195.58,    231.67,    235.51,    199.69,    237.83,    241.50,      0.00,    189.10,     16.14,     52.23,     56.07,    205.24,    241.33,    245.17,    209.34,    247.48,    251.15
std,     46.64,     47.08,     47.39,     48.10,     48.07,     47.83,     48.53,     48.50,     47.67,     48.37,     48.40,      0.00,      1.08,      1.07,      1.69,      1.64,      1.66,      2.19,      2.16,      1.57,      2.02,      2.05
min,    -85.10,    103.08,    -69.54,    -34.83,    -30.74,    118.65,    153.36,    157.44,    123.31,    159.80,    163.76,      0.00,    187.29,     14.15,     49.60,     53.57,    202.09,    237.68,    241.58,    206.57,    244.27,    247.83
25%,    -44.01,    145.21,    -28.87,      5.91,      9.91,    160.35,    195.14,    199.13,    164.44,    201.36,    205.12,      0.00,    188.20,     15.59,     51.01,     54.81,    204.13,    239.58,    243.53,    208.25,    245.94,    249.69
50%,     -5.95,    182.86,     10.99,     46.88,     50.73,    199.77,    235.65,    239.50,    203.57,    241.69,    245.29,      0.00,    189.14,     16.26,     52.38,     56.15,    205.06,    241.20,    245.07,    209.44,    247.11,    250.80
75%,      9.89,    200.26,     26.46,     63.04,     66.75,    216.67,    253.24,    256.96,    220.39,    259.14,    262.58,      0.00,    189.84,     16.77,     53.26,     57.02,    206.38,    242.64,    246.57,    210.35,    248.68,    252.33
max,    120.90,    311.92,    139.44,    176.83,    180.94,    330.46,    367.85,    371.96,    334.36,    373.40,    377.80,      0.00,    191.02,     18.54,     55.94,     60.04,    209.56,    246.95,    251.06,    213.46,    252.50,    256.90
1p5deg, lowQ10, highO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    -20.58,    186.79,      3.42,     24.60,     29.18,    210.79,    231.97,    236.55,    214.62,    238.95,    243.29,      0.00,    207.37,     24.01,     45.18,     49.76,    231.38,    252.55,    257.13,    235.20,    259.54,    263.87
std,     47.76,     48.55,     48.54,     49.21,     49.15,     49.32,     49.99,     49.93,     49.13,     49.86,     49.79,      0.00,      1.25,      1.09,      1.65,      1.59,      1.97,      2.48,      2.44,      1.84,      2.39,      2.32
min,   -100.38,    106.28,    -76.95,    -57.22,    -52.19,    129.71,    149.43,    154.47,    133.86,    156.59,    161.21,      0.00,    204.95,     22.11,     42.81,     47.23,    227.06,    247.79,    252.41,    231.20,    255.03,    259.49
25%,    -53.09,    153.63,    -30.56,    -10.18,     -5.59,    176.38,    196.86,    201.45,    180.48,    203.90,    208.36,      0.00,    206.31,     23.32,     44.00,     48.53,    230.12,    250.87,    255.61,    234.04,    257.96,    262.37
50%,    -16.57,    190.46,      8.10,     28.96,     33.57,    215.13,    235.99,    240.60,    218.76,    242.86,    247.12,      0.00,    207.24,     24.06,     45.31,     49.84,    231.17,    252.25,    256.79,    235.28,    259.37,    263.58
75%,      0.83,    209.39,     25.20,     46.92,     51.44,    233.76,    255.48,    260.00,    237.42,    262.45,    266.66,      0.00,    208.05,     24.80,     46.34,     50.88,    232.71,    253.92,    258.70,    236.41,    260.85,    265.19
max,    110.49,    321.10,    136.93,    159.52,    163.96,    347.54,    370.13,    374.58,    351.06,    376.91,    381.08,      0.00,    210.61,     26.44,     49.03,     53.47,    237.05,    259.64,    264.09,    240.57,    266.42,    270.59
1p5deg, highQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    -18.91,    168.73,     -2.09,     35.00,     37.89,    185.55,    222.64,    225.53,    189.50,    228.72,    231.35,      0.00,    187.64,     16.82,     53.91,     56.80,    204.46,    241.55,    244.44,    208.41,    247.63,    250.26
std,     46.40,     46.81,     47.04,     47.79,     47.72,     47.44,     48.19,     48.12,     47.29,     48.07,     48.00,      0.00,      1.05,      0.93,      1.61,      1.53,      1.54,      2.08,      2.01,      1.48,      1.97,      1.90
min,    -93.64,     92.67,    -78.14,    -41.48,    -38.56,    107.99,    144.65,    147.57,    112.08,    150.87,    153.50,      0.00,    185.75,     15.11,     51.49,     54.42,    201.45,    238.11,    241.03,    205.54,    244.33,    246.95
25%,    -51.54,    136.23,    -35.84,     -0.04,      2.97,    152.15,    187.94,    190.95,    156.26,    194.15,    196.90,      0.00,    186.83,     16.34,     52.60,     55.54,    203.42,    239.95,    242.91,    207.41,    246.23,    248.93
50%,    -14.27,    173.30,      3.23,     40.20,     43.08,    190.84,    227.80,    230.68,    194.59,    233.64,    236.27,      0.00,    187.69,     16.95,     54.14,     57.07,    204.35,    241.28,    244.10,    208.49,    247.24,    249.94
75%,     -0.02,    188.45,     17.34,     54.89,     57.67,    205.81,    243.36,    246.14,    209.46,    249.44,    251.89,      0.00,    188.34,     17.38,     54.94,     57.80,    205.67,    242.67,    245.67,    209.46,    248.84,    251.48
max,    111.64,    301.33,    130.11,    168.83,    171.59,    319.79,    358.51,    361.27,    323.41,    364.23,    366.73,      0.00,    189.69,     18.65,     57.50,     60.21,    208.15,    246.87,    249.63,    211.77,    252.59,    255.09
1p5deg, highQ10, highO3:
