1p5deg, lowQ10, lowO3:
         RegionCH4_mit,NatLand_mit,CCS_mit,LULUC_mit,Linear_mit,
         Canada:       2.78,      0.10,      0.01,      0.11,      2.91
            USA:      14.51,      1.84,      0.36,      2.18,     16.65
         Mexico:       1.88,      1.05,      0.44,      1.50,      3.38
Central America:       0.99,      0.26,      0.06,      0.32,      1.31
         Brazil:       7.35,      6.59,      1.66,      8.20,     15.55
Rest of South America:       9.26,      4.56,      1.23,      5.74,     14.96
Northern Africa:       2.10,      0.00,      0.00,      0.00,      2.10
 Western Africa:       7.71,     19.12,      0.02,     19.13,     26.85
 Eastern Africa:       4.06,      2.14,      0.12,      2.26,      6.30
   South Africa:      11.96,     -0.14,      0.00,     -0.13,     11.83
 Western Europe:       8.15,     -0.05,      0.12,      0.06,      8.20
 Central Europe:       3.94,     -0.23,      0.07,     -0.16,      3.78
         Turkey:       1.62,     -0.03,      0.00,     -0.03,      1.58
 Ukraine Region:       2.20,     -0.03,      0.00,     -0.03,      2.17
   Central Asia:       6.13,      0.02,      0.00,      0.02,      6.14
  Russia region:      10.43,      0.99,      0.03,      1.01,     11.45
    Middle East:      10.11,      0.00,      0.00,      0.00,     10.11
          India:      26.21,      0.20,      0.00,      0.20,     26.40
   Korea region:       0.76,     -0.01,      0.00,     -0.01,      0.75
   China region:      28.93,     -0.01,      1.03,      1.01,     29.93
Southeastern Asia:       8.62,      1.65,      0.89,      2.54,     11.16
Indonesia region:       4.65,      0.83,      0.00,      0.83,      5.47
          Japan:       0.70,      0.05,      0.00,      0.05,      0.75
        Oceania:       7.27,      1.88,      0.20,      2.08,      9.36
Rest of South Asia:       5.13,      0.14,      0.00,      0.14,      5.27
Rest of Southern Africa:       1.72,      5.61,      0.96,      6.58,      8.29
International Transportation:       0.00,      0.00,      0.00,      0.00,      0.00
         Global:     189.14,     46.54,      7.21,     53.74,    242.63
1p5deg, lowQ10, highO3:
         RegionCH4_mit,NatLand_mit,CCS_mit,LULUC_mit,Linear_mit,
         Canada:       3.05,      0.15,      0.02,      0.16,      3.21
            USA:      15.89,      0.54,      1.08,      1.60,     17.52
         Mexico:       2.06,      0.84,      0.45,      1.35,      3.41
