1p5deg: 
Total Sink: 
          CTL: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,    -30.85,      0.00,    -71.62,     82.42
std,     19.88,      0.00,     18.27,     11.98
min,    -66.57,      0.00,   -107.13,     59.90
25%,    -46.68,      0.00,    -84.97,     73.35
50%,    -31.51,      0.00,    -70.76,     82.76
75%,    -20.58,      0.00,    -59.46,     90.15
max,     22.76,      0.00,    -13.57,    113.45
          CH4: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     53.50,      0.00,     -2.15,    126.12
std,     21.59,      0.00,     16.75,     11.63
min,     14.58,      0.00,    -33.04,    104.14
25%,     36.48,      0.00,    -14.16,    117.20
50%,     52.50,      0.00,     -1.43,    126.47
75%,     65.02,      0.00,      8.01,    133.72
max,    111.66,      0.00,     53.22,    156.22
    LULUC_CCS: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,    -29.08,     54.29,    -80.84,     83.27
std,     19.85,      1.46,     17.61,     11.95
min,    -64.35,     50.60,   -113.04,     60.99
25%,    -44.93,     53.49,    -94.34,     74.02
50%,    -29.55,     54.55,    -79.82,     83.67
75%,    -18.99,     55.39,    -69.90,     90.79
max,     24.24,     56.69,    -26.03,    114.13
    LULUC_Nat: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,    -29.15,      0.00,    -24.51,     83.21
std,     19.83,      0.00,     21.08,     11.94
min,    -64.42,      0.00,    -65.64,     60.94
25%,    -45.13,      0.00,    -38.61,     73.93
50%,    -29.87,      0.00,    -25.09,     83.53
75%,    -18.91,      0.00,     -9.66,     90.67
max,     24.20,      0.00,     40.56,    114.07
    LULUC_opt: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,    -29.08,     38.38,    -44.22,     83.27
std,     19.85,      3.10,     20.84,     11.95
min,    -64.35,     32.91,    -85.26,     60.99
25%,    -44.93,     35.74,    -58.15,     74.02
50%,    -29.55,     37.83,    -44.98,     83.67
75%,    -18.99,     41.73,    -29.65,     90.79
max,     24.24,     43.79,     20.86,    114.13
   Linear_CCS: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     55.27,     54.29,    -11.37,    126.96
std,     21.55,      1.46,     18.37,     11.60
min,     16.80,     50.60,    -47.46,    105.23
25%,     38.23,     53.49,    -24.40,    118.14
50%,     54.46,     54.55,    -11.16,    127.39
75%,     66.36,     55.39,      0.34,    134.36
max,    113.15,     56.69,     49.59,    156.89
   Linear_Nat: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     55.20,      0.00,     44.97,    126.91
std,     21.53,      0.00,     17.98,     11.59
min,     16.73,      0.00,     12.53,    105.18
25%,     37.95,      0.00,     31.51,    118.06
50%,     54.64,      0.00,     45.10,    127.32
75%,     66.21,      0.00,     55.68,    134.26
max,    113.11,      0.00,    100.18,    156.84
   Linear_opt: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     55.27,     38.38,     25.25,    126.96
std,     21.55,      3.10,     17.53,     11.60
min,     16.80,     32.91,     -7.08,    105.23
25%,     38.23,     35.74,     12.27,    118.14
50%,     54.46,     37.83,     25.60,    127.39
75%,     66.36,     41.73,     35.48,    134.36
max,    113.15,     43.79,     80.29,    156.89
  Coupled_CCS: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     55.26,     57.19,     -8.80,    126.88
std,     21.59,      1.40,     18.12,     11.61
min,     16.67,     53.68,    -44.39,    105.08
25%,     38.19,     56.56,    -22.03,    117.99
50%,     54.47,     57.48,     -8.52,    127.33
75%,     66.46,     58.13,      3.19,    134.31
max,    113.18,     59.35,     51.61,    156.84
  Coupled_Nat: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     55.18,      0.00,     51.61,    126.82
std,     21.56,      0.00,     17.85,     11.60
min,     16.57,      0.00,     19.76,    105.02
25%,     37.86,      0.00,     38.44,    117.93
50%,     54.62,      0.00,     51.82,    127.25
75%,     66.19,      0.00,     62.07,    134.21
max,    113.12,      0.00,    107.01,    156.77
  Coupled_opt: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     55.26,     39.97,     30.42,    126.88
std,     21.59,      3.20,     17.43,     11.61
min,     16.67,     34.25,     -0.86,    105.08
25%,     38.19,     37.26,     17.72,    117.99
50%,     54.47,     39.58,     30.85,    127.33
75%,     66.46,     43.31,     40.67,    134.31
max,    113.18,     44.86,     85.19,    156.84
Mitigation Potential: 
          CTL: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,      0.00,      0.00,      0.00,      0.00
std,      0.00,      0.00,      0.00,      0.00
min,      0.00,      0.00,      0.00,      0.00
25%,      0.00,      0.00,      0.00,      0.00
50%,      0.00,      0.00,      0.00,      0.00
75%,      0.00,      0.00,      0.00,      0.00
max,      0.00,      0.00,      0.00,      0.00
          CH4: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     84.35,      0.00,     69.47,     43.69
std,      1.74,      0.00,      9.19,      0.39
min,     81.15,      0.00,     56.64,     42.55
25%,     83.07,      0.00,     60.38,     43.42
50%,     84.27,      0.00,     69.23,     43.68
75%,     85.55,      0.00,     78.59,     43.92
max,     88.90,      0.00,     81.01,     44.48
    LULUC_CCS: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,      1.78,     54.29,     -9.21,      0.85
std,      0.31,      1.46,      4.53,      0.15
min,      1.21,     50.60,    -15.78,      0.59
25%,      1.50,     53.49,    -13.61,      0.72
50%,      1.80,     54.55,     -9.10,      0.87
75%,      2.03,     55.39,     -4.75,      0.97
max,      2.36,     56.69,     -2.59,      1.12
    LULUC_Nat: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,      1.70,      0.00,     47.12,      0.79
std,      0.49,      0.00,      3.97,      0.23
min,      1.05,      0.00,     40.71,      0.47
25%,      1.24,      0.00,     43.63,      0.57
50%,      1.67,      0.00,     47.44,      0.77
75%,      2.16,      0.00,     50.95,      0.99
max,      2.59,      0.00,     54.68,      1.20
    LULUC_opt: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,      1.78,     38.38,     27.40,      0.85
std,      0.31,      3.10,      4.19,      0.15
min,      1.21,     32.91,     20.05,      0.59
25%,      1.50,     35.74,     23.51,      0.72
50%,      1.80,     37.83,     27.50,      0.87
75%,      2.03,     41.73,     31.04,      0.97
max,      2.36,     43.79,     34.43,      1.12
   Linear_CCS: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     86.13,     54.29,     60.26,     44.54
std,      1.68,      1.46,     13.62,      0.39
min,     83.24,     50.60,     42.94,     43.44
25%,     84.80,     53.49,     46.67,     44.25
50%,     86.06,     54.55,     60.36,     44.56
75%,     87.16,     55.39,     73.56,     44.80
max,     90.67,     56.69,     76.51,     45.37
   Linear_Nat: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     86.05,      0.00,    116.59,     44.48
std,      1.66,      0.00,      5.69,      0.41
min,     83.30,      0.00,    108.57,     43.31
25%,     84.72,      0.00,    111.19,     44.22
50%,     86.09,      0.00,    116.25,     44.47
75%,     86.98,      0.00,    122.00,     44.75
max,     90.35,      0.00,    125.90,     45.41
   Linear_opt: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     86.13,     38.38,     96.87,     44.54
std,      1.68,      3.10,      5.32,      0.39
min,     83.24,     32.91,     89.28,     43.44
25%,     84.80,     35.74,     91.70,     44.25
50%,     86.06,     37.83,     96.87,     44.56
75%,     87.16,     41.73,    101.79,     44.80
max,     90.67,     43.79,    105.34,     45.37
  Coupled_CCS: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     86.11,     57.19,     62.82,     44.46
std,      1.73,      1.40,     13.39,      0.38
min,     83.08,     53.68,     45.30,     43.39
25%,     84.69,     56.56,     49.50,     44.17
50%,     86.09,     57.48,     62.60,     44.49
75%,     87.17,     58.13,     75.95,     44.71
max,     90.80,     59.35,     78.50,     45.22
  Coupled_Nat: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     86.03,      0.00,    123.23,     44.39
std,      1.69,      0.00,      6.04,      0.39
min,     83.13,      0.00,    114.48,     43.26
25%,     84.66,      0.00,    117.59,     44.13
50%,     86.03,      0.00,    122.98,     44.41
75%,     86.92,      0.00,    129.12,     44.66
max,     90.46,      0.00,    132.73,     45.28
  Coupled_opt: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     86.11,     39.97,    102.04,     44.46
std,      1.73,      3.20,      5.57,      0.38
min,     83.08,     34.25,     93.91,     43.39
25%,     84.69,     37.26,     96.78,     44.17
50%,     86.09,     39.58,    102.11,     44.49
75%,     87.17,     43.31,    107.23,     44.71
max,     90.80,     44.86,    110.93,     45.22
2deg: 
Total Sink: 
          CTL: 
,Atmos,CCS,Land,Ocean
count,    136.00,    136.00,    136.00,    136.00
mean,     95.34,      0.00,    -17.57,    143.99
std,     42.14,      0.00,     26.16,     21.57
min,     21.54,      0.00,    -68.10,    105.99
25%,     66.12,      0.00,    -36.41,    130.33
50%,     96.08,      0.00,    -14.87,    144.02
75%,    119.18,      0.00,     -1.56,    158.45
