1p5deg: 
Median of GCMs:
                  Region,   CH4_mit,NatLand_mit,  CCS_mit,LULUC_mit,Linear_mit,
                  Canada,       2.90,     -2.63,      3.88,      1.20,      4.10
                     USA,      15.13,     -0.30,      4.72,      4.61,     19.81
                  Mexico,       1.96,      0.76,      1.88,      2.66,      4.63
         Central America,       1.04,      0.24,      0.17,      0.41,      1.45
                  Brazil,       7.66,      4.66,      8.05,     12.65,     20.37
   Rest of South America,       9.66,      3.57,      5.28,      8.89,     18.51
         Northern Africa,       2.19,      0.00,      0.00,      0.00,      2.19
          Western Africa,       8.04,     17.62,      0.09,     17.71,     25.77
          Eastern Africa,       4.23,      1.44,      1.11,      2.63,      6.86
            South Africa,      12.48,     -0.15,      0.04,     -0.11,     12.38
          Western Europe,       8.50,     -2.15,      4.97,      2.82,     11.32
          Central Europe,       4.11,     -1.66,      2.62,      1.20,      5.31
                  Turkey,       1.69,     -0.02,      0.00,     -0.02,      1.66
          Ukraine Region,       2.29,     -0.44,      0.96,      0.60,      2.89
            Central Asia,       6.40,      0.02,      0.01,      0.03,      6.44
           Russia region,      10.89,     -3.81,      7.85,      3.94,     14.87
             Middle East,      10.54,      0.00,      0.00,      0.00,     10.55
                   India,      27.34,      0.01,      0.38,      0.38,     27.76
            Korea region,       0.79,     -0.29,      0.81,      0.52,      1.31
            China region,      30.18,     -2.63,      8.54,      5.89,     36.13
       Southeastern Asia,       8.99,      1.49,      2.72,      4.23,     13.19
        Indonesia region,       4.85,      0.77,      0.00,      0.77,      5.61
                   Japan,       0.73,     -0.24,      0.70,      0.46,      1.20
                 Oceania,       7.59,     -1.54,      6.17,      4.65,     12.28
      Rest of South Asia,       5.35,      0.13,      0.00,      0.13,      5.48
 Rest of Southern Africa,       1.79,      3.57,      7.27,     10.89,     12.66
International Transportation,       0.00,      0.00,      0.00,      0.00,      0.00
                  Global,     197.31,     18.82,     67.96,     87.68,    285.21



25% of GCMs: 
                  Region,   CH4_mit,NatLand_mit,  CCS_mit,LULUC_mit,Linear_mit,
                  Canada,       2.77,     -2.89,      2.58,      0.75,      3.51
                     USA,      14.44,     -0.68,      4.53,      4.50,     19.00
                  Mexico,       1.87,      0.71,      1.82,      2.51,      4.56
         Central America,       0.99,      0.20,      0.16,      0.38,      1.42
                  Brazil,       7.31,      4.28,      7.68,     12.22,     20.15
   Rest of South America,       9.22,      3.28,      5.10,      8.46,     18.19
         Northern Africa,       2.09,      0.00,      0.00,      0.00,      2.09
          Western Africa,       7.67,     16.28,      0.09,     16.37,     24.74
          Eastern Africa,       4.04,      1.38,      1.05,      2.52,      6.79
            South Africa,      11.90,     -0.15,      0.04,     -0.11,     11.80
          Western Europe,       8.11,     -2.46,      4.90,      2.50,     10.63
          Central Europe,       3.92,     -1.76,      2.58,      0.88,      4.79
                  Turkey,       1.61,     -0.03,      0.00,     -0.03,      1.58
          Ukraine Region,       2.19,     -0.47,      0.95,      0.51,      2.71
            Central Asia,       6.10,      0.01,      0.01,      0.02,      6.13
           Russia region,      10.39,     -4.38,      6.43,      3.11,     13.51
             Middle East,      10.06,      0.00,      0.00,      0.00,     10.06
                   India,      26.08,     -0.02,      0.37,      0.35,     26.45
            Korea region,       0.75,     -0.36,      0.79,      0.47,      1.22
            China region,      28.79,     -3.06,      8.42,      5.53,     34.32
       Southeastern Asia,       8.58,      1.31,      2.66,      4.00,     12.96
        Indonesia region,       4.63,      0.68,      0.00,      0.68,      5.46
                   Japan,       0.70,     -0.32,      0.68,      0.40,      1.09
                 Oceania,       7.24,     -1.88,      5.72,      4.37,     11.76
      Rest of South Asia,       5.10,      0.12,      0.00,      0.12,      5.25
 Rest of Southern Africa,       1.71,      3.46,      7.11,     10.70,     12.53
International Transportation,       0.00,      0.00,      0.00,      0.00,      0.00
                  Global,     188.24,     16.30,     65.96,     85.15,    275.54



75% of GCMs: 
                  Region,   CH4_mit,NatLand_mit,  CCS_mit,LULUC_mit,Linear_mit,
                  Canada,       3.04,     -1.83,      4.61,      1.75,      4.79
                     USA,      15.83,      0.01,      5.44,      4.73,     20.56
                  Mexico,       2.05,      0.79,      1.98,      2.78,      4.70
         Central America,       1.08,      0.28,      0.18,      0.46,      1.48
                  Brazil,       8.02,      5.13,      8.21,     13.21,     20.64
   Rest of South America,      10.11,      3.84,      5.48,      9.20,     19.05
         Northern Africa,       2.29,      0.00,      0.00,      0.00,      2.30
          Western Africa,       8.41,     19.02,      0.09,     19.10,     26.79
          Eastern Africa,       4.43,      1.63,      1.22,      2.76,      6.97
            South Africa,      13.05,     -0.13,      0.04,     -0.10,     12.95
          Western Europe,       8.89,     -1.84,      5.05,      3.14,     12.04
          Central Europe,       4.30,     -1.07,      2.66,      1.53,      5.82
                  Turkey,       1.76,     -0.02,      0.00,     -0.02,      1.75
          Ukraine Region,       2.40,     -0.25,      0.99,      0.69,      3.10
            Central Asia,       6.69,      0.03,      0.01,      0.03,      6.72
           Russia region,      11.39,     -3.36,      9.22,      4.84,     16.21
             Middle East,      11.03,      0.01,      0.00,      0.01,     11.04
                   India,      28.61,      0.08,      0.39,      0.44,     29.03
            Korea region,       0.83,     -0.23,      0.83,      0.56,      1.39
            China region,      31.58,     -2.19,      8.65,      6.27,     37.87
       Southeastern Asia,       9.41,      1.61,      2.78,      4.36,     13.39
        Indonesia region,       5.07,      0.84,      0.00,      0.84,      5.75
